ws_property_id,city,state,zipcode,apt_house,num_bedrooms,kitchen,shared,current_monthly_rent,percentile_10th_price,percentile_90th_price,sample_nightly_rent_price,occupancy_rates
W122,Bentonville,AR,72712,apartment,2,Y,N,800,157,340,241,0.5315
W123,Bentonville,AR,72712,house,1,Y,N,700,215,377,363,0.1397
W124,Bentonville,AR,72712,house,2,Y,N,1000,202,374,301,0.4685
W125,Bentonville,AR,72719,apartment,1,Y,N,700,94,356,212,0.5014
W126,Bentonville,AR,72719,apartment,2,Y,N,900,69,485,340,0.3068
W127,Bentonville,AR,72719,house,1,Y,N,1000,84,376,266,0.5205
W128,Bentonville,AR,72719,house,2,Y,N,1200,109,490,442,0.1288
W129,Denver,CO,80204,apartment,1,Y,N,1200,145,434,354,0.2411
W13,Chapel Hill,NC,27707,apartment,2,Y,N,920,111,147,123,0.4521
W130,Denver,CO,80204,apartment,2,Y,N,1300,228,457,377,0.4795
W131,Denver,CO,80204,house,1,Y,N,1100,90,375,318,0.2712
W132,Denver,CO,80204,house,2,Y,N,1200,128,238,198,0.4301
W133,Denver,CO,80209,apartment,1,Y,N,1300,126,188,149,0.5671
W134,Denver,CO,80209,apartment,2,Y,N,1700,152,247,210,0.3205
W135,Denver,CO,80209,house,1,Y,N,1200,141,263,187,0.4493
W136,Denver,CO,80209,house,2,Y,N,1900,157,314,225,0.5096
W137,Denver,CO,80218,apartment,1,Y,N,1000,93,159,123,0.7205
W138,Denver,CO,80218,apartment,2,Y,N,1500,145,462,263,0.4959
W139,Denver,CO,80218,house,1,Y,N,1300,181,316,238,0.4493
W14,Chapel Hill,NC,27707,house,1,Y,N,850,96,245,146,0.5315
W140,Denver,CO,80218,house,2,Y,N,1800,145,412,349,0.1507
W141,Denver,CO,80220,apartment,1,Y,N,1100,99,215,147,0.6000
W142,Denver,CO,80220,apartment,2,Y,N,1400,120,188,151,0.5260
W143,Denver,CO,80220,house,1,Y,N,1300,263,489,429,0.2110
W144,Denver,CO,80220,house,2,Y,N,1900,335,502,441,0.3315
W145,Denver,CO,80249,apartment,1,Y,N,900,98,195,144,0.3288
W146,Denver,CO,80249,apartment,2,Y,N,1400,77,260,136,0.6192
W147,Denver,CO,80249,house,1,Y,N,1400,173,322,305,0.2712
W148,Denver,CO,80249,house,2,Y,N,1700,176,469,425,0.3288
W149,Miami,FL,33122,apartment,1,Y,N,800,86,224,176,0.4137
W15,Chapel Hill,NC,27707,house,2,Y,N,900,111,276,169,0.4795
W150,Miami,FL,33122,apartment,2,Y,N,1300,127,276,207,0.6301
W151,Miami,FL,33122,house,1,Y,N,1400,222,381,244,0.9041
W152,Miami,FL,33122,house,2,Y,N,1900,386,773,536,0.5425
W153,Miami,FL,33137,apartment,1,Y,N,1700,136,476,476,0.0795
W154,Miami,FL,33137,apartment,2,Y,N,2400,173,690,360,0.5507
W155,Miami,FL,33137,house,1,Y,N,2100,448,2128,1477,0.6932
W156,Miami,FL,33137,house,2,Y,N,3200,450,2699,1265,0.7151
W157,Miami,FL,33146,apartment,1,Y,N,1300,291,387,328,0.5205
W158,Miami,FL,33146,apartment,2,Y,N,1700,203,318,246,0.1589
W159,Miami,FL,33146,house,1,Y,N,1400,287,395,325,0.5452
W16,Chapel Hill,NC,27707,apartment,1,Y,N,750,51,179,94,0.4795
W160,Miami,FL,33146,house,2,Y,N,1900,376,502,428,0.5863
W161,Miami,FL,33149,apartment,1,Y,N,1600,126,352,188,0.6795
W162,Miami,FL,33149,apartment,2,Y,N,2200,119,505,274,0.5781
W163,Miami,FL,33149,house,1,Y,N,1500,486,1215,860,0.4110
W164,Miami,FL,33149,house,2,Y,N,2400,516,1650,729,0.6822
W165,Miami,FL,33178,apartment,1,Y,N,1600,160,321,174,0.8247
W166,Miami,FL,33178,apartment,2,Y,N,1900,168,364,308,0.2164
W167,Miami,FL,33178,house,1,Y,N,1400,226,368,308,0.6000
W168,Miami,FL,33178,house,2,Y,N,2000,285,428,342,0.3918
W169,Omaha,NE,68046,apartment,1,Y,N,1000,91,342,229,0.5890
W17,Chicago,IL,60607,apartment,2,Y,N,2500,173,581,392,0.2932
W170,Omaha,NE,68046,apartment,2,Y,N,1400,168,392,322,0.2712
W171,Omaha,NE,68046,house,1,Y,N,1300,155,494,257,0.5507
W172,Omaha,NE,68046,house,2,Y,N,1800,151,391,286,0.4521
W173,Omaha,NE,68106,apartment,1,Y,N,700,99,265,180,0.5178
W174,Omaha,NE,68106,apartment,2,Y,N,900,154,286,230,0.5205
W175,Omaha,NE,68106,house,1,Y,N,1000,190,462,221,0.6301
W176,Omaha,NE,68106,house,2,Y,N,1200,205,411,316,0.3699
W177,Omaha,NE,68110,apartment,1,Y,N,700,192,313,245,0.5699
W178,Omaha,NE,68110,apartment,2,Y,N,1000,192,357,266,0.4192
W179,Omaha,NE,68110,house,1,Y,N,800,186,465,325,0.4548
W18,Chicago,IL,60607,house,1,Y,N,2500,189,588,393,0.6219
W180,Omaha,NE,68110,house,2,Y,N,900,209,358,256,0.7096
W181,Omaha,NE,68114,apartment,1,Y,N,700,42,252,184,0.3096
W182,Omaha,NE,68114,apartment,2,Y,N,1000,94,531,427,0.2411
W183,Omaha,NE,68114,house,1,Y,N,900,86,488,418,0.0466
W184,Omaha,NE,68114,house,2,Y,N,1200,83,556,219,0.6356
W185,San Diego,CA,91910,apartment,1,Y,N,1100,84,301,220,0.4301
W186,San Diego,CA,91910,apartment,2,Y,N,1400,134,568,481,0.3808
W187,San Diego,CA,91910,house,1,Y,N,1300,109,615,280,0.4575
W19,Chicago,IL,60607,house,2,Y,N,2800,191,826,556,0.2986
W191,San Diego,CA,91950,house,1,Y,N,1300,157,471,318,0.3918
W192,San Diego,CA,91950,house,2,Y,N,1600,253,886,680,0.3863
W193,San Diego,CA,92102,apartment,1,Y,N,1400,76,342,202,0.4877
W194,San Diego,CA,92102,apartment,2,Y,N,2000,107,781,579,0.4110
W195,San Diego,CA,92102,house,1,Y,N,1700,162,614,524,0.5041
W196,San Diego,CA,92102,house,2,Y,N,2500,158,906,560,0.2767
W197,San Diego,CA,92118,apartment,1,Y,N,1800,199,432,362,0.3288
W198,San Diego,CA,92118,apartment,2,Y,N,2600,366,594,417,0.5315
W199,San Diego,CA,92118,house,1,Y,N,2500,333,665,474,0.4274
W2,Chapel Hill,NC,27514,house,1,Y,N,1500,81,205,146,0.2411
W188,San Diego,CA,91910,house,2,Y,N,1900,227,861,568,0.1890
W189,San Diego,CA,91950,apartment,1,Y,N,900,176,440,318,0.2904
W190,San Diego,CA,91950,apartment,2,Y,N,1100,225,1033,538,0.5808
W20,Chicago,IL,60607,apartment,1,Y,N,1700,106,465,312,0.4110
W200,San Diego,CA,92118,house,2,Y,N,3600,336,624,491,0.3973
W201,San Diego,CA,92154,apartment,1,Y,N,1200,173,395,204,0.7973
W202,San Diego,CA,92154,apartment,2,Y,N,1600,228,456,245,0.6877
W203,San Diego,CA,92154,house,1,Y,N,1000,155,252,197,0.5890
W204,San Diego,CA,92154,house,2,Y,N,1500,158,236,195,0.6192
W205,Columbus,OH,43201,apartment,1,Y,N,750,89,155,124,0.4548
W206,Columbus,OH,43201,apartment,2,Y,N,1040,115,179,156,0.4877
W207,Columbus,OH,43201,house,1,Y,N,900,152,300,256,0.4795
W208,Columbus,OH,43201,house,2,Y,N,1400,175,368,284,0.4932
W209,Columbus,OH,43212,apartment,1,Y,N,825,77,161,128,0.3616
W21,Chicago,IL,60611,apartment,2,Y,N,2700,157,526,337,0.4219
W210,Columbus,OH,43212,apartment,2,Y,N,1300,125,170,139,0.7425
W211,Columbus,OH,43212,house,1,Y,N,1000,140,288,240,0.3699
W218,Richmond,VA,23113,apartment,2,Y,N,1200,125,277,203,0.2712
W219,Richmond,VA,23113,house,1,Y,N,1400,209,384,240,0.7616
W220,Richmond,VA,23113,house,2,Y,N,1600,220,418,312,0.6082
W221,Richmond,VA,23060,apartment,1,Y,N,1105,82,235,111,0.6110
W222,Richmond,VA,23060,apartment,2,Y,N,1665,130,200,169,0.3068
W223,Richmond,VA,23060,house,1,Y,N,1175,106,267,201,0.5233
W224,Richmond,VA,23060,house,2,Y,N,1725,195,305,242,0.4822
W225,Richmond,VA,23234,apartment,1,Y,N,709,86,192,158,0.2219
W226,Richmond,VA,23234,apartment,2,Y,N,869,135,305,246,0.3890
W227,Richmond,VA,23234,house,1,Y,N,925,125,288,207,0.4164
W228,Richmond,VA,23234,house,2,Y,N,1350,119,360,224,0.4849
W229,Richmond,VA,23220,apartment,1,Y,N,900,89,177,139,0.5507
W230,Richmond,VA,23220,apartment,2,Y,N,1325,161,319,283,0.2932
W231,Richmond,VA,23220,house,1,Y,N,975,145,300,192,0.5014
W232,Richmond,VA,23220,house,2,Y,N,1550,185,376,307,0.3014
W235,Charleston,SC,29438,house,1,Y,N,1400,135,287,232,0.4986
W236,Charleston,SC,29438,house,2,Y,N,1995,224,331,292,0.6384
W237,Charleston,SC,29470,apartment,1,Y,N,760,100,195,169,0.2904
W238,Charleston,SC,29470,apartment,2,Y,N,965,135,284,189,0.5397
W239,Charleston,SC,29470,house,1,Y,N,1185,157,320,289,0.2795
W240,Charleston,SC,29470,house,2,Y,N,1340,135,347,278,0.3890
W241,Charleston,SC,29487,apartment,1,Y,N,1150,80,267,183,0.5753
W242,Charleston,SC,29487,apartment,2,Y,N,2000,160,323,237,0.3123
W243,Charleston,SC,29487,house,1,Y,N,1600,225,406,297,0.4521
W244,Charleston,SC,29487,house,2,Y,N,2150,170,447,360,0.5315
W3,Chapel Hill,NC,27514,house,2,Y,N,2000,97,240,199,0.3123
W22,Chicago,IL,60611,house,1,Y,N,2700,202,629,389,0.5123
W23,Chicago,IL,60611,house,2,Y,N,3200,195,844,325,0.8164
W24,Chicago,IL,60611,apartment,1,Y,N,1700,98,430,239,0.6767
W25,Chicago,IL,60616,apartment,1,Y,N,1600,94,411,209,0.5397
W26,Chicago,IL,60616,apartment,2,Y,N,2100,130,438,265,0.4027
W27,Chicago,IL,60616,house,1,Y,N,1200,162,504,435,0.4000
W28,Chicago,IL,60616,house,2,Y,N,2100,175,755,487,0.4301
W29,Chicago,IL,60642,apartment,2,Y,N,2500,129,431,231,0.4027
W212,Columbus,OH,43212,house,2,Y,N,1480,175,310,249,0.4411
W213,Columbus,OH,43222,apartment,1,Y,N,650,80,156,107,0.4795
W214,Columbus,OH,43222,apartment,2,Y,N,920,108,205,147,0.4137
W215,Columbus,OH,43222,house,1,Y,N,880,145,333,246,0.4438
W216,Columbus,OH,43222,house,2,Y,N,1200,160,310,169,0.6192
W217,Richmond,VA,23113,apartment,1,Y,N,1000,95,280,174,0.5479
W233,Charleston,SC,29438,apartment,1,Y,N,1165,135,220,180,0.3425
W234,Charleston,SC,29438,apartment,2,Y,N,1625,220,312,260,0.6000
W31,Chicago,IL,60642,house,2,Y,N,2750,188,810,538,0.6000
W32,Chicago,IL,60642,apartment,1,Y,N,1800,89,390,288,0.2329
W33,Chicago,IL,60654,apartment,2,Y,N,3000,193,648,415,0.4082
W34,Chicago,IL,60654,house,1,Y,N,2000,193,600,387,0.3260
W35,Chicago,IL,60654,house,2,Y,N,2950,192,829,575,0.3890
W55,New York,NY,11101,house,2,Y,N,3000,195,752,620,0.2932
W56,New York,NY,11101,apartment,1,Y,N,3000,80,469,235,0.6411
W57,New York,NY,11211,apartment,2,Y,N,3900,116,361,284,0.5041
W58,New York,NY,11211,house,1,Y,N,2800,102,799,355,0.4027
W59,New York,NY,11211,house,2,Y,N,3500,188,724,436,0.5068
W36,Chicago,IL,60654,apartment,1,Y,N,1700,98,432,228,0.5205
W60,New York,NY,11211,apartment,1,Y,N,2600,69,406,250,0.3699
W61,Palo Alto,CA,94025,apartment,2,Y,N,2695,265,534,443,0.2356
W62,Palo Alto,CA,94025,house,1,Y,N,3000,158,706,343,0.5808
W63,Palo Alto,CA,94025,house,2,Y,N,4000,306,781,739,0.0192
W64,Palo Alto,CA,94025,apartment,1,Y,N,2295,100,469,270,0.4685
W65,Palo Alto,CA,94301,apartment,2,Y,N,3000,270,543,424,0.3425
W66,Palo Alto,CA,94301,house,1,Y,N,3300,283,1261,980,0.2712
W37,New York,NY,10002,apartment,1,Y,N,3000,87,512,337,0.4630
W38,New York,NY,10002,apartment,2,Y,N,3200,154,480,154,0.6795
W39,New York,NY,10004,apartment,2,Y,N,4500,273,853,432,0.6822
W4,Chapel Hill,NC,27514,apartment,1,Y,N,800,53,188,104,0.5699
W40,New York,NY,10004,house,1,Y,N,4500,103,807,200,0.8685
W41,New York,NY,10004,house,2,Y,N,5500,200,770,428,0.5233
W42,New York,NY,10004,apartment,1,Y,N,3500,151,890,576,0.4603
W43,New York,NY,10014,apartment,2,Y,N,4000,218,681,560,0.3534
W30,Chicago,IL,60642,house,1,Y,N,2500,186,578,490,0.2301
W44,New York,NY,10014,apartment,1,Y,N,3000,109,640,288,0.4986
W45,New York,NY,10019,apartment,2,Y,N,5600,196,612,373,0.5151
W46,New York,NY,10019,house,1,Y,N,3200,165,1296,420,0.8712
W47,New York,NY,10019,house,2,Y,N,3500,268,1032,593,0.5068
W48,New York,NY,10019,apartment,1,Y,N,3400,106,624,436,0.2822
W49,New York,NY,10023,apartment,2,Y,N,4200,210,654,426,0.5425
W5,Chapel Hill,NC,27516,apartment,2,Y,N,1100,111,148,142,0.0822
W50,New York,NY,10023,house,1,Y,N,3000,133,1040,621,0.3479
W51,New York,NY,10023,house,2,Y,N,3900,231,888,535,0.4767
W52,New York,NY,10023,apartment,1,Y,N,3600,137,808,196,0.7781
W53,New York,NY,11101,apartment,2,Y,N,3500,155,483,294,0.3973
W54,New York,NY,11101,house,1,Y,N,2500,111,868,471,0.6000
W6,Chapel Hill,NC,27516,house,1,Y,N,900,116,296,141,0.5479
W67,Palo Alto,CA,94301,house,2,Y,N,4500,530,1354,994,0.4301
W68,Palo Alto,CA,94301,apartment,1,Y,N,2700,103,483,284,0.6055
W69,Palo Alto,CA,94303,apartment,1,Y,N,2700,110,515,236,0.5671
W7,Chapel Hill,NC,27516,house,2,Y,N,1100,136,335,188,0.6192
W70,Palo Alto,CA,94303,apartment,2,Y,N,3000,270,544,329,0.7041
W71,Palo Alto,CA,94303,house,1,Y,N,4500,231,1027,549,0.4438
W72,Palo Alto,CA,94303,house,2,Y,N,4900,379,969,652,0.4466
W73,Palo Alto,CA,94305,apartment,2,Y,N,3300,264,532,378,0.4219
W74,Palo Alto,CA,94305,house,1,Y,N,4500,151,673,255,0.5918
W75,Palo Alto,CA,94305,house,2,Y,N,4200,278,711,441,0.5726
W76,Palo Alto,CA,94305,apartment,1,Y,N,2500,98,460,356,0.4247
W77,Palo Alto,CA,94306,apartment,1,Y,N,2500,108,507,437,0.0795
W78,Palo Alto,CA,94306,apartment,2,Y,N,3300,270,543,461,0.3178
W79,Palo Alto,CA,94306,house,1,Y,N,4500,186,829,669,0.3123
W8,Chapel Hill,NC,27516,apartment,1,Y,N,500,50,174,121,0.3973
W80,Palo Alto,CA,94306,house,2,Y,N,4200,319,815,437,0.6110
W81,San Francisco,CA,94103,apartment,2,Y,N,3600,332,805,663,0.2329
W82,San Francisco,CA,94103,house,1,Y,N,4000,179,629,337,0.5068
W83,San Francisco,CA,94103,house,2,Y,N,5500,227,813,447,0.6164
W84,San Francisco,CA,94103,apartment,1,Y,N,3000,115,650,610,0.1014
W85,San Francisco,CA,94110,apartment,2,Y,N,4000,220,534,302,0.3151
W86,San Francisco,CA,94110,house,1,Y,N,4000,128,450,213,0.6521
W87,San Francisco,CA,94110,house,2,Y,N,5000,152,546,364,0.5123
W88,San Francisco,CA,94110,apartment,1,Y,N,3200,94,528,251,0.6274
W89,San Francisco,CA,94112,apartment,2,Y,N,3500,194,471,343,0.3973
W9,Chapel Hill,NC,27517,apartment,1,Y,N,965,50,174,125,0.3753
W90,San Francisco,CA,94112,house,1,Y,N,3200,138,485,251,0.3342
W91,San Francisco,CA,94112,house,2,Y,N,3500,152,547,404,0.3616
W92,San Francisco,CA,94112,apartment,1,Y,N,3000,77,432,161,0.2658
W93,San Francisco,CA,94118,apartment,1,Y,N,2600,100,565,408,0.3863
W94,San Francisco,CA,94118,apartment,2,Y,N,4000,204,494,284,0.3151
W95,San Francisco,CA,94118,house,1,Y,N,4000,257,903,443,0.5562
W96,San Francisco,CA,94118,house,2,Y,N,5100,256,916,718,0.4493
W97,San Francisco,CA,94129,apartment,2,Y,N,5600,265,644,478,0.3178
W98,San Francisco,CA,94129,house,1,Y,N,5000,236,829,533,0.5123
W99,San Francisco,CA,94129,house,2,Y,N,6000,244,872,566,0.3699
